order_uid,accept_time,delivery_time,transit_hours,courier_id
C001_0,2023-01-03,2023-01-03,0.0,C001
C001_1,2023-01-05,2023-01-05,0.0,C001
C001_10,2023-02-04,2023-02-04,0.0,C001
C001_11,2023-02-08,2023-02-08,0.0,C001
C001_12,2023-02-14,2023-02-14,0.0,C001
C001_13,2023-02-15,2023-02-15,0.0,C001
C001_14,2023-02-20,2023-02-20,0.0,C001
C001_15,2023-02-21,2023-02-21,0.0,C001
C001_16,2023-02-26,2023-02-26,0.0,C001
C001_17,2023-03-06,2023-03-06,0.0,C001
C001_18,2023-03-09,2023-03-09,0.0,C001
C001_19,2023-03-13,2023-03-13,0.0,C001
C001_2,2023-01-19,2023-01-19,0.0,C001
C001_20,2023-03-16,2023-03-16,0.0,C001
C001_21,2023-03-20,2023-03-20,0.0,C001
C001_22,2023-03-23,2023-03-23,0.0,C001
C001_23,2023-03-24,2023-03-24,0.0,C001
C001_24,2023-03-30,2023-03-30,0.0,C001
C001_25,2023-04-03,2023-04-03,0.0,C001
C001_26,2023-04-06,2023-04-06,0.0,C001
C001_27,2023-04-08,2023-04-08,0.0,C001
C001_28,2023-04-10,2023-04-10,0.0,C001
C001_29,2023-04-11,2023-04-11,0.0,C001
C001_3,2023-01-21,2023-01-21,0.0,C001
C001_30,2023-04-14,2023-04-14,0.0,C001
C001_31,2023-04-28,2023-04-28,0.0,C001
C001_32,2023-04-29,2023-04-29,0.0,C001
C001_33,2023-05-17,2023-05-17,0.0,C001
C001_34,2023-05-20,2023-05-20,0.0,C001
C001_35,2023-05-21,2023-05-21,0.0,C001
C001_36,2023-05-26,2023-05-26,0.0,C001
C001_37,2023-05-27,2023-05-27,0.0,C001
C001_38,2023-05-29,2023-05-29,0.0,C001
C001_39,2023-06-11,2023-06-11,0.0,C001
C001_4,2023-01-24,2023-01-24,0.0,C001
C001_40,2023-06-15,2023-06-15,0.0,C001
C001_41,2023-06-17,2023-06-17,0.0,C001
C001_42,2023-06-28,2023-06-28,0.0,C001
C001_43,2023-07-01,2023-07-01,0.0,C001
C001_44,2023-07-05,2023-07-05,0.0,C001
C001_45,2023-07-06,2023-07-06,0.0,C001
C001_46,2023-07-07,2023-07-07,0.0,C001
C001_47,2023-07-11,2023-07-11,0.0,C001
C001_48,2023-07-16,2023-07-16,0.0,C001
C001_49,2023-07-17,2023-07-17,0.0,C001
C001_5,2023-01-27,2023-01-27,0.0,C001
C001_50,2023-07-19,2023-07-19,0.0,C001
C001_51,2023-07-20,2023-07-20,0.0,C001
C001_52,2023-07-22,2023-07-22,0.0,C001
C001_53,2023-07-24,2023-07-24,0.0,C001
C001_54,2023-07-26,2023-07-26,0.0,C001
C001_55,2023-08-06,2023-08-06,0.0,C001
C001_56,2023-08-08,2023-08-08,0.0,C001
C001_57,2023-08-09,2023-08-09,0.0,C001
C001_58,2023-08-14,2023-08-14,0.0,C001
C001_59,2023-08-17,2023-08-17,0.0,C001
C001_6,2023-01-28,2023-01-28,0.0,C001
C001_60,2023-08-21,2023-08-21,0.0,C001
C001_61,2023-08-22,2023-08-22,0.0,C001
C001_62,2023-08-25,2023-08-25,0.0,C001
C001_63,2023-08-26,2023-08-26,0.0,C001
C001_64,2023-09-02,2023-09-02,0.0,C001
C001_65,2023-09-17,2023-09-17,0.0,C001
C001_66,2023-09-22,2023-09-22,0.0,C001
C001_67,2023-09-26,2023-09-26,0.0,C001
C001_68,2023-10-06,2023-10-06,0.0,C001
C001_69,2023-10-11,2023-10-11,0.0,C001
C001_7,2023-01-29,2023-01-29,0.0,C001
C001_70,2023-10-21,2023-10-21,0.0,C001
C001_71,2023-10-22,2023-10-22,0.0,C001
C001_72,2023-10-30,2023-10-30,0.0,C001
C001_73,2023-11-04,2023-11-04,0.0,C001
C001_74,2023-11-05,2023-11-05,0.0,C001
C001_75,2023-11-08,2023-11-08,0.0,C001
C001_76,2023-11-09,2023-11-09,0.0,C001
C001_77,2023-11-12,2023-11-12,0.0,C001
C001_78,2023-11-13,2023-11-13,0.0,C001
C001_79,2023-11-16,2023-11-16,0.0,C001
C001_8,2023-01-31,2023-01-31,0.0,C001
C001_80,2023-11-17,2023-11-17,0.0,C001
C001_81,2023-11-18,2023-11-18,0.0,C001
C001_82,2023-12-01,2023-12-01,0.0,C001
C001_83,2023-12-07,2023-12-07,0.0,C001
C001_84,2023-12-11,2023-12-11,0.0,C001
C001_85,2023-12-12,2023-12-12,0.0,C001
C001_86,2023-12-15,2023-12-15,0.0,C001
C001_9,2023-02-03,2023-02-03,0.0,C001
C002_0,2023-01-05,2023-01-05,0.0,C002
C002_1,2023-01-08,2023-01-08,0.0,C002
C002_10,2023-01-30,2023-01-30,0.0,C002
C002_11,2023-02-03,2023-02-03,0.0,C002
C002_12,2023-02-04,2023-02-04,0.0,C002
C002_13,2023-02-05,2023-02-05,0.0,C002
C002_14,2023-02-19,2023-02-19,0.0,C002
C002_15,2023-02-22,2023-02-22,0.0,C002
C002_16,2023-02-23,2023-02-23,0.0,C002
C002_17,2023-03-11,2023-03-11,0.0,C002
C002_18,2023-03-13,2023-03-13,0.0,C002
C002_19,2023-03-14,2023-03-14,0.0,C002
C002_2,2023-01-09,2023-01-09,0.0,C002
C002_20,2023-03-22,2023-03-22,0.0,C002
C002_21,2023-03-27,2023-03-27,0.0,C002
C002_22,2023-04-04,2023-04-04,0.0,C002
C002_23,2023-04-05,2023-04-05,0.0,C002
C002_24,2023-04-09,2023-04-09,0.0,C002
C002_25,2023-04-11,2023-04-11,0.0,C002
C002_26,2023-04-12,2023-04-12,0.0,C002
C002_27,2023-04-17,2023-04-17,0.0,C002
C002_28,2023-04-24,2023-04-24,0.0,C002
C002_29,2023-05-03,2023-05-03,0.0,C002
C002_3,2023-01-10,2023-01-10,0.0,C002
C002_30,2023-05-04,2023-05-04,0.0,C002
C002_31,2023-05-06,2023-05-06,0.0,C002
C002_32,2023-05-12,2023-05-12,0.0,C002
C002_33,2023-05-14,2023-05-14,0.0,C002
C002_34,2023-05-18,2023-05-18,0.0,C002
C002_35,2023-05-21,2023-05-21,0.0,C002
C002_36,2023-05-28,2023-05-28,0.0,C002
C002_37,2023-06-08,2023-06-08,0.0,C002
C002_38,2023-06-10,2023-06-10,0.0,C002
C002_39,2023-06-18,2023-06-18,0.0,C002
C002_4,2023-01-12,2023-01-12,0.0,C002
C002_40,2023-06-19,2023-06-19,0.0,C002
C002_41,2023-06-23,2023-06-23,0.0,C002
C002_42,2023-06-27,2023-06-27,0.0,C002
C002_43,2023-06-29,2023-06-29,0.0,C002
C002_44,2023-07-01,2023-07-01,0.0,C002
C002_45,2023-07-04,2023-07-04,0.0,C002
C002_46,2023-07-09,2023-07-09,0.0,C002
C002_47,2023-07-13,2023-07-13,0.0,C002
C002_48,2023-07-17,2023-07-17,0.0,C002
C002_49,2023-07-19,2023-07-19,0.0,C002
C002_5,2023-01-19,2023-01-19,0.0,C002
C002_50,2023-07-25,2023-07-25,0.0,C002
C002_51,2023-07-26,2023-07-26,0.0,C002
C002_52,2023-07-27,2023-07-27,0.0,C002
C002_53,2023-07-29,2023-07-29,0.0,C002
C002_54,2023-07-30,2023-07-30,0.0,C002
C002_55,2023-08-05,2023-08-05,0.0,C002
C002_56,2023-08-08,2023-08-08,0.0,C002
C002_57,2023-08-12,2023-08-12,0.0,C002
C002_58,2023-08-14,2023-08-14,0.0,C002
C002_59,2023-08-18,2023-08-18,0.0,C002
C002_6,2023-01-20,2023-01-20,0.0,C002
C002_60,2023-09-03,2023-09-03,0.0,C002
C002_61,2023-09-16,2023-09-16,0.0,C002
C002_62,2023-09-23,2023-09-23,0.0,C002
C002_63,2023-09-26,2023-09-26,0.0,C002
C002_64,2023-10-05,2023-10-05,0.0,C002
C002_65,2023-10-08,2023-10-08,0.0,C002
C002_66,2023-10-15,2023-10-15,0.0,C002
C002_67,2023-10-17,2023-10-17,0.0,C002
C002_68,2023-10-19,2023-10-19,0.0,C002
C002_69,2023-10-26,2023-10-26,0.0,C002
C002_7,2023-01-22,2023-01-22,0.0,C002
